,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
18,9.0,16,4,1,0,1
19,19.0,2,5,10,4,1
24,18.0,24,1,13,0,1
25,15.0,24,8,6,0,0
26,18.0,2,8,1,0,1
27,18.0,14,10,10,2,0
28,27.0,2,1,2,4,1
29,19.0,14,5,15,1,1
30,19.0,14,5,15,3,0
31,18.0,2,8,1,0,0
32,27.0,14,1,6,2,1
33,9.0,0,8,1,3,1
34,9.0,2,5,1,0,1
35,9.0,24,1,1,0,1
36,19.0,24,8,10,0,0
37,18.0,16,10,1,0,1
38,5.0,14,8,16,2,1
39,19.0,14,5,3,3,1
40,9.0,2,5,2,4,1
41,9.0,14,1,14,2,0
42,18.0,2,10,2,0,0
43,2.0,2,10,10,4,1
44,9.0,2,1,1,4,1
45,15.0,2,1,10,4,0
46,15.0,2,8,10,4,0
47,19.0,14,5,13,4,0
48,15.0,2,8,10,4,0
49,3.0,2,5,10,4,1
50,18.0,2,5,1,4,1
51,15.0,2,1,10,4,1
52,9.0,2,5,9,4,0
53,15.0,2,8,10,4,0
54,9.0,2,10,1,0,1
55,19.0,2,10,1,0,1
57,5.0,14,10,14,2,1
58,27.0,24,5,6,0,1
59,18.0,24,1,10,2,1
60,9.0,24,10,1,0,1
61,18.0,24,5,1,0,1
62,19.0,24,10,10,0,1
63,19.0,24,8,3,2,0
64,19.0,24,1,2,0,1
65,15.0,24,10,10,2,0
66,19.0,2,1,1,4,1
67,19.0,2,5,2,0,1
68,27.0,14,5,10,2,1
69,18.0,12,8,10,2,1
70,18.0,24,1,2,0,1
71,9.0,14,10,14,2,1
72,19.0,24,1,10,0,1
73,9.0,2,8,6,0,1
74,15.0,2,10,10,4,0
75,15.0,2,8,10,4,0
76,15.0,2,1,10,4,0
77,15.0,2,5,10,4,0
78,25.0,14,1,1,0,0
79,10.0,24,5,1,4,1
80,18.0,24,1,10,0,0
81,9.0,14,10,1,0,1
82,9.0,2,5,2,1,1
83,18.0,10,10,2,0,1
84,19.0,2,1,1,4,1
85,18.0,2,1,3,4,1
86,15.0,2,10,10,4,0
87,9.0,2,1,1,4,1
88,15.0,2,8,10,4,0
89,15.0,2,1,10,4,0
90,15.0,2,5,10,4,0
91,15.0,2,10,10,4,0
92,15.0,2,8,10,4,1
93,9.0,2,10,1,4,1
94,15.0,2,5,10,4,0
95,19.0,14,1,2,0,1
96,27.0,24,8,10,0,0
97,15.0,2,4,10,4,1
98,18.0,10,8,1,0,1
100,19.0,24,10,1,0,1
101,18.0,10,5,9,0,1
102,27.0,14,10,1,0,0
103,18.0,24,8,2,0,1
104,18.0,24,10,10,2,0
105,19.0,24,10,10,2,0
106,5.0,15,10,10,2,0
107,18.0,24,10,9,2,1
108,15.0,24,10,10,0,0
109,18.0,24,10,1,0,1
110,19.0,2,10,1,0,1
111,10.0,24,10,1,2,1
112,19.0,14,10,7,2,1
113,19.0,12,10,1,0,1
114,18.0,14,10,10,0,1
115,18.0,14,10,1,0,1
116,19.0,14,10,10,4,1
117,18.0,24,10,1,0,1
118,5.0,15,5,10,4,1
119,19.0,24,10,1,2,1
120,20.0,14,1,3,2,0
121,18.0,14,10,2,0,1
122,18.0,24,10,1,0,1
123,18.0,24,1,10,2,1
124,5.0,2,10,1,0,1
125,19.0,2,10,3,0,1
139,20.0,14,4,1,2,0
140,18.0,14,10,12,2,1
141,18.0,2,10,1,0,1
142,18.0,10,1,1,0,1
143,19.0,11,5,1,0,1
144,27.0,14,10,6,2,0
145,15.0,24,4,3,2,0
146,18.0,2,1,10,2,0
147,27.0,24,8,3,2,1
148,18.0,2,4,2,0,0
149,18.0,2,10,2,0,1
150,18.0,2,4,2,0,1
151,5.0,14,4,1,0,0
152,15.0,24,8,10,0,0
153,15.0,2,1,10,4,0
154,15.0,2,5,10,4,1
155,15.0,2,10,10,4,0
156,15.0,2,8,10,4,0
157,18.0,2,10,1,0,1
158,15.0,2,4,10,4,0
159,15.0,24,8,11,4,1
